price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
5995,2006,ford ranger,good,6.0,gas,148600.0,automatic,truck,silver,1,2018-11-10,35,13
6900,2011,subaru outback,excellent,6.0,gas,135445.0,automatic,SUV,,1,2018-11-02,57,8
31400,2016,chevrolet silverado 1500 crew,good,8.0,gas,15070.0,automatic,pickup,black,1,2019-01-17,64,4
24200,2018,nissan frontier crew cab sv,good,6.0,gas,11034.0,other,pickup,blue,1,2018-06-29,9,1
10990,2006,chevrolet silverado 1500,good,,gas,93726.0,automatic,truck,white,1,2018-05-17,19,13
7500,1997,ford mustang,good,8.0,gas,185000.0,manual,coupe,white,0,2019-01-05,9,23
11950,2003,jeep wrangler,excellent,6.0,gas,97211.0,automatic,SUV,custom,1,2018-08-01,15,16
16950,2010,jeep wrangler,excellent,6.0,gas,85490.0,other,SUV,red,1,2018-12-26,29,9
6500,2009,hyundai santa fe,good,6.0,gas,98000.0,manual,SUV,,0,2019-03-18,27,11
15000,2009,toyota tacoma,excellent,6.0,gas,221000.0,automatic,truck,black,1,2019-02-20,30,11
10950,2011,ford expedition,excellent,8.0,gas,130390.0,automatic,SUV,,1,2018-12-23,33,8
23000,2018,honda accord,like new,4.0,gas,15000.0,manual,sedan,,0,2018-08-22,37,1
3950,2009,subaru impreza,excellent,4.0,gas,137882.0,automatic,hatchback,silver,1,2018-08-22,19,10
5295,2005,ford f-150,good,8.0,gas,225000.0,automatic,pickup,white,1,2018-06-19,15,14
8999,2013,ford escape,excellent,4.0,gas,122964.0,automatic,wagon,,1,2018-06-03,31,6
5999,2012,nissan versa,excellent,4.0,gas,76737.0,automatic,sedan,silver,0,2018-07-31,3,7
10000,2006,ford f-150,excellent,8.0,gas,181000.0,automatic,truck,silver,1,2018-07-17,9,13
17999,2008,gmc sierra 2500hd,excellent,8.0,diesel,101959.0,automatic,truck,white,1,2018-05-06,46,11
7999,2012,nissan rogue,excellent,4.0,gas,93496.0,automatic,wagon,black,0,2018-10-15,29,7
28200,2012,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1,2018-07-15,30,7
2000,2002,honda civic lx,good,4.0,gas,216875.0,automatic,coupe,red,0,2018-05-21,47,17
22914,2015,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1,2018-08-11,19,4
19900,2013,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1,2018-10-30,42,6
24495,2016,ford explorer,excellent,6.0,gas,50123.0,automatic,SUV,white,1,2018-11-17,49,3
5300,2010,dodge charger,good,8.0,gas,156000.0,automatic,sedan,white,0,2018-07-04,43,9
22900,2015,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,custom,1,2018-05-15,24,4
14685,2011,toyota tacoma,excellent,6.0,gas,145671.0,automatic,truck,black,1,2019-01-03,8,9
24869,2015,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1,2019-03-20,23,5
4999,2005,toyota camry le,excellent,4.0,gas,105000.0,automatic,sedan,silver,0,2019-03-01,60,15
7800,2012,chevrolet traverse,good,6.0,gas,157000.0,automatic,SUV,blue,1,2018-11-30,4,7
12500,2009,cadillac escalade,excellent,8.0,gas,159000.0,automatic,SUV,,1,2018-10-01,26,10
4975,2007,honda odyssey,excellent,6.0,gas,205000.0,automatic,mini-van,brown,0,2018-10-28,35,12
2795,2003,volkswagen jetta,good,4.0,gas,178950.0,manual,sedan,,0,2018-05-20,98,16
10800,2015,toyota camry,excellent,4.0,gas,28150.0,automatic,sedan,black,1,2018-09-25,24,4
2750,2006,honda civic lx,good,4.0,gas,200.0,manual,sedan,black,0,2018-07-06,41,13
7995,2008,jeep grand cherokee,excellent,6.0,gas,104613.0,automatic,SUV,silver,1,2018-05-23,23,11
22500,2013,ford f-250 sd,good,8.0,gas,128415.0,automatic,truck,green,1,2019-03-03,32,7
9995,2013,chrysler town & country,excellent,6.0,gas,81999.0,automatic,van,,0,2019-01-07,71,7
6995,2005,honda accord,like new,6.0,gas,45429.0,automatic,sedan,grey,0,2018-11-04,53,14
11795,2015,toyota tacoma,excellent,4.0,gas,111048.0,automatic,truck,white,0,2018-09-30,30,4
8795,2014,honda civic,excellent,,gas,85452.0,automatic,sedan,grey,0,2018-09-11,164,5
6995,2011,hyundai sonata,excellent,4.0,gas,117371.0,automatic,sedan,grey,1,2019-02-26,20,9
